,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
193,Northeast,1952,117.0,17609073,13558986.0,28.52,151.42,150505.0,0.77,5,"CT,MA,NJ,NY,PA"
194,Small,1952,53.0,3512667,6147167.0,5.69,30.21,66277.0,1.75,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
195,South,1952,163.0,12271482,18898082.0,19.87,105.52,75285.0,1.54,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
196,West,1952,53.0,7769473,6137884.0,12.58,66.81,146594.0,0.79,4,"CA,CO,OR,WA"
197,Nat'l Average,1952,531.0,61751942,61751942.0,100.0,531.0,116294.0,1.0,48,All 48
198,Midwest,1956,145.0,20565816,16863969.0,33.16,176.08,141833.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
199,Northeast,1956,117.0,17619302,13743056.0,28.41,150.85,150592.0,0.78,5,"CT,MA,NJ,NY,PA"
200,Small,1956,53.0,3528193,6174338.0,5.69,30.21,66570.0,1.75,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
201,South,1956,163.0,12292102,19052758.0,19.82,105.24,75412.0,1.55,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
202,West,1956,53.0,8015915,6172255.0,12.92,68.63,151244.0,0.77,4,"CA,CO,OR,WA"
203,Nat'l Average,1956,531.0,62021328,62021328.0,100.0,531.0,116801.0,1.0,48,All 48
204,Midwest,1960,145.0,22393846,18586892.0,32.53,174.71,154440.0,0.83,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
205,Northeast,1960,117.0,18763094,15010475.0,27.26,146.38,160368.0,0.8,5,"CT,MA,NJ,NY,PA"
206,Small,1960,59.0,4227840,7567834.0,6.14,32.98,71658.0,1.79,16,"AK,AZ,DE,HI,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
207,South,1960,163.0,14186885,20854721.0,20.61,110.68,87036.0,1.47,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
208,West,1960,53.0,9260817,6760396.0,13.45,72.25,174732.0,0.73,4,"CA,CO,OR,WA"
